,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
51,101086,福井駅前 エリア,2,1994,28,20代,福井県,福井市,400万円以上 500万円未満,mobile/iphone,2022-04-29 15:35:52,4月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,選択肢なし,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,めがねミュージアム,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",3,,感じた,天気が悪かったので,8,,,福井県在住,,yellow
53,101225,うるしの里 エリア,2,1955,67,60代,福井県,坂井市,400万円以上 500万円未満,mobile/android,2022-04-29 15:21:12,4月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
",0,1,0,1,1,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満",使わない,"20,000円以上 30,000円未満",2～5回目,越前和紙の里,,選択なし/該当施設なし,,"20,000円以上 30,000円未満",5,どこも丁寧に対応してくださった,感じなかった,,8,うるしの里会館、漆塗りについてよくわかる。展示品も素晴らしいし、手頃なアウトレット商品もありよかった。,感じの良い、アートの有る、一人旅でも楽しめる喫茶店があると良い。体験は2日前予約だが現地で知ると出来ないので残念です。当日でもできるプログラムがあるといいです。,また行きたい（1年以内）,,blue
54,101212,web,1,1979,43,40代,福井県,坂井市,"1,000万円以上 1,200万円未満",mobile/android,2022-04-29 15:11:13,4月,花の駅 ゆりの里公園 エリア,09.花の駅 ゆりの里公園 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
買い物、アウトレット
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,丸岡城,,一乗谷朝倉氏遺跡,,"3,000円以上 5,000円未満",4,美味しいもの食べれて、安く野菜を買えて満足でした,感じなかった,,8,,,福井県在住,,blue
57,101218,うみんぴあ大飯 エリア,1,1985,37,30代,愛知県,長久手市,700万円以上 800万円未満,mobile/iphone,2022-04-29 14:56:09,4月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,2泊,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"友人・親戚を尋ねる
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"5,000円以上 10,000円未満","3,000円以上 5,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,子どもが楽しく遊べることができた,感じなかった,,8,,,また行きたい（1年以内）,,blue
59,101214,若狭海遊バザール 千鳥苑 エリア,2,1968,54,50代,愛知県,名古屋市名東区,分からない/無回答,mobile/iphone,2022-04-29 14:35:36,4月,若狭海遊バザール 千鳥苑 エリア,60.若狭海遊バザール 千鳥苑 エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",3,,感じなかった,,7,泊まる宿がとても気に入っています。,,また行きたい（1年以内）,"海鮮ものがとても美味しい！
また来ます！",yellow
61,101213,web,2,1991,31,30代,福井県,吉田郡,300万円以上 400万円未満,mobile/iphone,2022-04-29 14:19:50,4月,まちの市場 こってコテいけだ エリア,35.まちの市場 こってコテいけだ エリア,池田町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"1,000円未満","3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",4,,感じた,駐車場が少ない,7,,,,,blue
65,101206,金ヶ崎 エリア,2,1964,58,50代,岐阜県,土岐市,200万円以上 300万円未満,mobile/android,2022-04-29 13:32:17,4月,金ヶ崎 エリア,49.金ヶ崎 エリア,敦賀市,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,恋人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,楽,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,氣比神宮,,「ちひろの生まれた家」記念館,,"5,000円以上 10,000円未満",4,食べ物が美味しい,感じなかった,,2,,,また行きたい（1年以内）,,blue
67,101196,道の駅みくに ふれあいパーク三里浜 エリア,2,1968,54,50代,宮城県,仙台市宮城野区,"900万円以上 1,000万円未満",mobile/android,2022-04-29 13:15:37,4月,道の駅みくに ふれあいパーク三里浜 エリア,10.道の駅みくに ふれあいパーク三里浜 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
買い物、アウトレット
ドライブ・ツーリング
",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"10,000円以上 20,000円未満","10,000円以上 20,000円未満",11回目以上,日本海さかな街,,選択なし/該当施設なし,三国 福寿し,"1,000円以上 3,000円未満",4,商品の取り扱いがかなり豊富なのでお土産の購入はこちらの道の駅で完了できます。農産物や水産物も買えるので自宅用のお土産も買えます。また、駐車場も停めやすくお手洗いもきれいで気持ちよく利用させて頂いております。,感じなかった,,9,三方五湖の魚三さんのうなぎ弁当と三国の福寿しさんが目的の福井旅行でした。両方とも大満足のお味で皆さんにお勧めしたいです。,日本海さかな街が閑散としていました。カニのシーズンと全く異なったので驚きました。美味しいカニがリーズナブルに食べられたら最高ですね。,また行きたい（1年以内）,私は東京出身で現在は東北在住です。地域的なものなのか周りの人は福井旅行（金沢以外の北陸）にあまり親しみが無いようです。我が家が福井が気に入り度々訪れていると話すと驚かれます。夫がドライブ好きなので自家用車で来県するのですが、北陸道は年末年始やGWであってもほとんど渋滞しないのでストレスが全くありません。北陸新幹線の延長で県内がさらに活性化するとおもいますので、今後どのように変わるのかも楽しみです。,blue
68,101190,web,2,1985,37,30代,福井県,福井市,500万円以上 600万円未満,mobile/android,2022-04-29 13:04:54,4月,道の駅「南えちぜん山海里」 エリア,43.道の駅「南えちぜん山海里」 エリア,南越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"買い物、アウトレット
まちあるき、都市散策
",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
インターネット・アプリ
",0,1,0,1,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,満足,,使わない,使わない,"3,000円以上 5,000円未満",初めて,越前大野城,,丸岡城,,"1,000円以上 3,000円未満",4,きれい,感じなかった,,5,,,福井県在住,,blue
71,101191,一乗谷朝倉氏遺跡 エリア,2,1983,39,30代,富山県,黒部市,400万円以上 500万円未満,mobile/iphone,2022-04-29 12:40:58,4月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,使わない,"5,000円以上 10,000円未満","3,000円以上 5,000円未満",初めて,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,,感じなかった,,10,,,また行きたい（1年以内）,越前そばのお店を増やしてほしいです,blue
72,101192,道の駅「越前」 エリア,2,1994,28,20代,愛知県,稲沢市,300万円以上 400万円未満,mobile/iphone,2022-04-29 12:34:04,4月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,敦賀ICから海沿いを走ってきました。海の景色がとてもキレイでよいドライブになりました。,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,日本海さかな街,,"5,000円以上 10,000円未満",4,"越前かにミュージアムが楽しかったです。
道の駅でのランチも安く、美味しい海鮮が食べられて満足です。",感じなかった,,6,"職場の同僚
釣り付きの同僚にぴったりのスポットだと思ったからです。",,また行きたい（1年以内）,,blue
82,101173,福井駅前 エリア,1,1991,31,30代,奈良県,奈良市,500万円以上 600万円未満,mobile/android,2022-04-29 10:49:21,4月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,石川県加賀市,夫婦2人,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"在来線
",0,0,0,0,0,0,0,"徒歩
",0,0,1,0,とても満足,乗り換えなしでこれるから,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,,感じなかった,,9,,,,,blue
85,101165,web,1,1962,60,60代,福井県,吉田郡,300万円以上 400万円未満,mobile/android,2022-04-29 09:58:41,4月,永平寺町 エリア,27.永平寺町 エリア,永平寺町,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,その他家族,"友人・親戚を尋ねる
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"新幹線
在来線
",1,0,1,0,0,0,0,"自家用車
",0,0,0,0,どちらでもない,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",初めて,大本山永平寺,,福井県立恐竜博物館,,"3,000円以上 5,000円未満",4,,感じた,移動,7,,,機会があれば行きたい,,blue
88,101155,北前船主の館 右近家 エリア,2,1970,52,50代,佐賀県,鳥栖市,"900万円以上 1,000万円未満",mobile/iphone,2022-04-29 08:42:34,4月,北前船主の館 右近家 エリア,44.北前船主の館 右近家 エリア,南越前町,丹南,,2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","40,000円以上 50,000円未満","20,000円以上 30,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,建物がとても感動した。,感じなかった,,5,,,機会があれば行きたい,,blue
90,101411,東尋坊 エリア,2,1963,59,50代,神奈川県,横浜市磯子区,"1,500万円以上",mobile/iphone,2022-04-30 23:43:11,4月,永平寺門前 エリア,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,,2泊,1泊,三国・あわらエリア（あわら市・坂井市）,石川県金沢市,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"飛行機
",0,1,0,0,1,0,0,"レンタカー
",0,0,0,0,満足,公営の駐車場が見当たらなかった。土産屋に呼び込みされた。,"50,000円以上 100,000円未満","50,000円以上 100,000円未満","5,000円以上 10,000円未満",初めて,小松空港（石川県）,,あわら温泉街,,"1,000円以上 3,000円未満",4,福井県の名物が食べられるレストランがあつたので。,感じなかった,,10,修行僧を間近にみて、身が引き締まった。,,機会があれば行きたい,,blue
91,101411,東尋坊 エリア,2,1963,59,50代,神奈川県,横浜市磯子区,"1,500万円以上",mobile/iphone,2022-04-30 23:39:18,4月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,2泊,1泊,三国・あわらエリア（あわら市・坂井市）,石川県金沢市,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"飛行機
",0,1,0,0,1,0,0,"レンタカー
",0,0,0,0,とても満足,分かりやすいアプローチだつた,"50,000円以上 100,000円未満","50,000円以上 100,000円未満","5,000円以上 10,000円未満",初めて,東尋坊,,金沢駅周辺（石川県）,,"1,000円未満",5,復元された所を歩くコスチューム姿の人達が良かったです。,感じた,上城戸から道路（一乗谷小学校側）までの小道が、狭くて怖かったです。,10,タイムスリップできる空間でした。,土産物屋はなくていいと思いました。,機会があれば行きたい,スタンプラリーのように、グルーピングすると、立ち寄れる所が増えるかと思いました。,blue
